台詞,gpt command
主隊射進球門的次數是#shg1，而客隊射進球門的次數是#shg2。主隊射門次數是#shot1，客隊射門次數是#shot2。兩隊射進球門的次數差距為#shg_diff。,主隊射進球門的次數比客隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數都是0，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1次，客隊射進球門的次數為#shg2次，主隊比客隊多#shg_diff次。兩隊的射門次數都是#shot1次。,主隊射進球門的次數比客隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數相同，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，而客隊的射進球門次數為#shg2，兩隊的差距為#shg_diff。主隊的射門總次數為#shot1，客隊的射門次數為#shot2，兩者相差不大，差距在2次以下。,主隊射進球門的次數比客隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊在射進球門的次數上，以#shg1次對比客隊的#shg2次，優勢明顯，差距達到#shg_diff次。射門方面，主隊以#shot1次領先客隊的#shot2次，數據上構成一定的壓力。,主隊射進球門的次數比客隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，而客隊則為#shg2，主隊比客隊多了#shg_diff次。主隊射門總次數為#shot1，而客隊的射門次數為#shot2，主隊同樣超過客隊6次以上。兩隊在射門的效率上存在明顯差距。,主隊射進球門的次數比客隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，客隊則為#shg2，兩隊的差距為#shg_diff。整體射門次數上，主隊為#shot1，而客隊為#shot2，客隊僅比主隊多兩次以下。,主隊射進球門的次數比客隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，客隊為#shg2，主隊在射進球門方面領先#shg_diff次。客隊射門次數為#shot2，主隊為#shot1，客隊在射門次數上稍有優勢。,主隊射進球門的次數比客隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1次，而客隊只有#shg2次，兩者相差#shg_diff次。客隊的射門次數為#shot2次，明顯比主隊的#shot1次多出6次以上。兩隊在射進球門和射門次數方面均有明顯差距。,主隊射進球門的次數比客隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，客隊射進球門的次數為#shg2，兩隊射進球門的次數差距為#shg_diff。兩隊的射門次數都是#shot1。,客隊射進球門的次數比主隊多2次以下，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數都是0，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊和客隊在射門方面都取得了#shot1次的機會。在射進球門方面，主隊有#shg1次，而客隊有#shg2次，客隊比主隊多射進#shg_diff次。,客隊射進球門的次數比主隊多2次以下，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數相同，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，客隊則為#shg2，兩隊在這項數據上的差距為#shg_diff。兩隊射門次數方面，主隊的數據為#shot1，客隊的數據為#shot2，兩隊在射門次數上差距不大。,客隊射進球門的次數比主隊多2次以下，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門#shg1次，客隊射進球門#shg2次，兩隊的差距#shg_diff次。主隊在射門上稍占上風，以#shot1次射門超過客隊的#shot2次。,客隊射進球門的次數比主隊多2次以下，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，客隊為#shg2，兩隊僅差#shg_diff次。主隊一共射門#shot1次，相比下，客隊則是#shot2次，主隊在射門次數上佔有明顯優勢。,客隊射進球門的次數比主隊多2次以下，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，客隊則為#shg2，兩隊射進球門次數的差距為#shg_diff。射門次數方面，主隊和客隊的數據為#shot1。兩隊在射進球門和總射門數上差距不大。,客隊射進球門的次數比主隊多2次以下，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數是#shg1，客隊是#shg2，兩者差距為#shg_diff。客隊的射門次數是#shot2，主隊是#shot1，客隊在射門方面稍佔優勢。,客隊射進球門的次數比主隊多2次以下，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，客隊射進球門的次數為#shg2，兩隊差距為#shg_diff。客隊的射門次數為#shot2，比主隊的#shot1多出至少6次。,客隊射進球門的次數比主隊多2次以下，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，客隊射進球門的次數為#shg2，兩隊在射進球門次數上差距為#shg_diff。雙方都未進行射門，射門次數均為#shot1。,客隊射進球門的次數比主隊多3~5次，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數都是0，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射門次數是#shot1次，客隊射門次數也是#shot1次。主隊射進球門的次數為#shg1次，客隊射進球門的次數為#shg2次，客隊比主隊多#shg_diff次。,客隊射進球門的次數比主隊多3~5次，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數相同，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數：#shg1，客隊射進球門的次數：#shg2，客隊在射進球門次數上領先#shg_diff。主隊射門次數：#shot1，客隊射門次數：#shot2，主隊在射門次數上與客隊差距不大。,客隊射進球門的次數比主隊多3~5次，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊和客隊在場上的表現各有千秋。主隊射進球門的次數為#shg1次，而客隊則為#shg2次，差距達到了#shg_diff次。不過在射門的頻率上，主隊更為積極，以#shot1次射門略微領先於客隊的#shot2次。 ,客隊射進球門的次數比主隊多3~5次，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射門次數為#shot1次，客隊射門次數為#shot2次，主隊在射門次數上多出6次以上。客隊射進球門的次數為#shg2次，主隊射進球門的次數為#shg1次，客隊在射進球門次數上多出#shg_diff次。,客隊射進球門的次數比主隊多3~5次，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射門總次數#shot1次，客隊射門總次數#shot2次，兩者僅有小幅差距。主隊射進球門的次數為#shg1次，客隊為#shg2次，客隊在此項統計上優勢明顯，以#shg_diff次超越主隊。,客隊射進球門的次數比主隊多3~5次，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊目前的射進球門次數為#shg1次，而客隊則達到#shg2次，兩者之間的差距為#shg_diff次。而在射門次數方面，主隊完成了#shot1次，客隊則有#shot2次，客隊在這兩項關鍵數據上都稍佔上風。,客隊射進球門的次數比主隊多3~5次，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數是#shg1，客隊射進球門的次數是#shg2，兩隊射進球門次數相差#shg_diff次。主隊的射門次數是#shot1，而客隊則是#shot2，客隊的射門次數明顯高出許多。,客隊射進球門的次數比主隊多3~5次，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數是#shg1，客隊射進球門的次數是#shg2，兩者相差#shg_diff。兩隊的射門次數皆為#shot1。,客隊射進球門的次數比主隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數都是0，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
在這場比賽中，客隊射進球門的次數為#shg2次，顯著多於主隊的#shg1次，兩隊間的差距達到#shg_diff次。而在射門總次數上，主隊與客隊雙方均為#shot1次，這一點上雙方打得不分上下。,客隊射進球門的次數比主隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數相同，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射門次數有#shot1次，客隊射門次數為#shot2次，兩隊的射門次數相差不大。主隊射進球門的次數為#shg1次，客隊則有#shg2次，客隊在射進球門的次數上領先#shg_diff次。,客隊射進球門的次數比主隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門#shg1次，客隊射進球門#shg2次，兩隊射進球門的差距為#shg_diff。主隊射門#shot1次，客隊射門#shot2次，主隊在射門總數上領先。,客隊射進球門的次數比主隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1次，客隊為#shg2次，差距達到#shg_diff次。雖然射進球門的次數客隊占優，但在總射門次數上，主隊以#shot1次領先客隊的#shot2次。,客隊射進球門的次數比主隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1次，客隊射進球門的次數為#shg2次，兩隊相差#shg_diff次。主隊的射門次數為#shot1次，客隊的射門次數也為#shot2次，兩隊的射門次數相近。,客隊射進球門的次數比主隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，客隊射進球門的次數為#shg2，客隊在射進球門的次數上領先主隊#shg_diff次。主隊總射門次數為#shot1，客隊總射門次數為#shot2，客隊在射門次數上領先主隊3到5次。兩隊在射門和射進球門的次數上呈現一定差距。,客隊射進球門的次數比主隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數是#shg1，而客隊射進球門的次數是#shg2，兩隊的差距是#shg_diff。另外，主隊的射門次數是#shot1，客隊的射門次數是#shot2。總體來看，客隊的射進球門次數和射門數量都明顯領先主隊。,客隊射進球門的次數比主隊多6次以上，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
